id,Original Sentence,Human 1 Writing,Human 1,Human 2 Writing,Human 2,GPT-3-zero-shot,GPT-3-few-shot,Muss,T5-3B,T5-11B
10,"French serial killer Charles Sobhraj, who received a life sentence in Nepal for murdering two tourists in 1975, is released from prison due to his old age and good behavior in accordance with a Supreme Court order.",French serial killer Charles Sobhraj was in jail in Nepal for life after killing two tourists in 1975. He was released from prison due to old age and good behavior.,anton,"French serial killer Charles Sobhraj, who received a life sentence for murdering two tourists in Nepal, has been released from prison due to good behavior and old age.",ayush,"Charles Sobhraj, a French serial killer, was released from prison in Nepal due to his old age and good behavior. This was ordered by the Supreme Court, as Sobhraj had been serving a life sentence since 1975 for murdering two tourists.","Charles Sobhraj, a French serial killer, was released from prison because of his advanced age and good behavior. This release was ordered by the Supreme Court, as Sobhraj had been serving a life sentence for murdering two tourists in Nepal in 1975.","January 1 -- Charles Sobhraj, a French serial killer, is released from prison due to his old age and good behavior in accordance with a Supreme Court order. He had been in prison for two years.","The movie is about a French serial killer, Charles Sobhraj, who received a life sentence in Nepal for murdering two tourists in 1975. Sobhraj is released from prison due to his old age and good behavior.","French serial killer Charles Sobhraj, who received a life sentence in Nepal for murdering two tourists in 1975, is released from prison due to his old age and good behavior."
11,"The Indonesian government raises the volcanic alert status to the highest level after Semeru in East Java erupts, forcing the evacuation of around 2,000 people.",The Indonesian government set the volcanic alert status at the highest level after Semeru in East Java erupted.,ayush,"Around 2,000 people were forcibly evacuated after Semeru in East Java erupted and the Indonesian government raised the volcanic alert status.",vinayak,"The Indonesian government raised the volcanic alert status to its highest level following the eruption of Semeru in East Java. This eruption forced around 2,000 people to evacuate.","The Indonesian government set the volcanic alert status to the highest level due to the eruption of Semeru in East Java, which caused the evacuation of roughly 2,000 people.","The Indonesian government raises the highest level of volcanic alert to the highest level. Semeru in East Java erupts, forcing around 2,000 people to leave.","The Indonesian government raises the volcanic alert status to the highest level after Mount Semeru in East Java erupts, forcing the evacuation of around 2,000 people.","The Indonesian government raises the volcanic alert status to the highest level after Semeru in East Java erupts, forcing the evacuation of around 2,000 people."
12,"Fourteen people are killed, and 24 others are injured when a drunk driver ploughs into crowds at the annual carnival parade in Calabar, Cross River State, Nigeria. ","In Calabar, Cross River State, Nigeria, a drunk driver drove into a crowd of people at a parade. 14 people were killed, and 24 more were hurt.",kelly,"A drunk driver crashes into crowds at the yearly carnival parade in Calabar, Nigeria. 14 people are killed and 24 others are hurt.",rachel,"At the annual carnival parade in Calabar, Cross River State, Nigeria, a drunk driver crashed into the crowd, killing 14 people and injuring 24.","Fourteen people died and 24 were hurt when a drunk driver crashed into a parade in Calabar, Nigeria.","Fourteen people are killed, and 24 others are injured. A drunk driver ploughs into crowds at the annual carnival parade in Calabar, Nigeria.","14 people are killed and 24 others are injured when a drunk driver crashed into people at a carnival parade in Calabar, Nigeria.","14 people are killed, and 24 others are injured when a drunk driver ploughs into crowds at the yearly carnival parade in Calabar, Cross River State, Nigeria."
13,"The Supreme Court of the United States rules 5–4 to maintain Title 42 of the U.S. Code, allowing the government to remove persons who have recently been in a country where an infectious disease was present.","In a 5-4 decision split, the Supreme Court of the United States decided to keep Title 42 of the U.S Code. This allows the government to remove people who have recently been in a country with an infectious disease.",vishnesh,The Supreme Court voted 5-4 to maintain Title 42. This allows the government to remove anybody from the United States who has recently visited a country that contains an infectious disease.,vinayak,"The Supreme Court of the United States ruled by a majority of 5 to 4 to keep Title 42 of the U.S. Code, which gives the government the ability to remove people who have been to a country with an infectious disease.","The Supreme Court of the United States voted 5–4 to keep Title 42 of the U.S. Code, which allows the government to remove people who were recently in a country with an infectious disease.",The Supreme Court of the United States rules 5-4 that the government can remove a person from the country if they have been in the country and the person has an infectious disease.,The Supreme Court of the United States rules 5-9 to keep Title 42 of the U.S. Code. This allows the government to remove persons who have recently been in a country where an infectious disease was present.,The Supreme Court of the United States rules 5-4 to maintain Title 42 of the U.S. Code. This allows the government to remove persons who have recently been in a country where an infectious disease was present.
14,"The Taiwanese government announces that it would extend the required duration for conscription from four months to one year, citing the increasing threat of China using military force to pursue Chinese unification.","There is a greater threat that China will use military force for unification. As a result, Taiwan extends the length of mandatory military service from four months to one year.",rachel,The Taiwanese government said it would change the required length for draft from four months to one year. They did this because they were afraid that China would use military force to pursue Chinese unification.,kelly,The Taiwanese government has announced that they will lengthen the amount of time needed to serve in the military from four months to a year due to the growing threat of China employing military power to bring about unification.,The Taiwanese government said they would make conscription last for one year instead of four months. They explained this was due to the higher risk of China attacking to take over Taiwan.,The Taiwanese government announces that it would extend the required time for military service from four months to one year. They said that China was trying to bring Taiwan under its control.,"The Taiwanese government announced that it would extend the required duration for conscription from four months to one year, citing the increasing threat of China using military force to pursue Chinese unification.",The Taiwanese government announced that it would extend the required duration for conscription from four months to one year.
15,The National Health Commission announces that China will suspend their COVID-19 quarantine requirements for passengers arriving from abroad beginning on January 8.,"The National Health Commission said that, starting on January 8, China will stop making people quarantine for COVID-19 when coming from abroad.",kelly,"The National Health Commission said that from January 8, people who travel to China from other countries will not need to quarantine for COVID-19.",vishnesh,"The National Health Commission has announced that China will no longer require quarantines for people coming in from other countries, as of January 8.","The National Health Commission announced that, starting on January 8, China will no longer require people entering the country to be quarantined due to the COVID-19 pandemic.",China's National Health Commission said that they would stop their COVID-19 quarantine requirements for people coming from abroad from January 8.,The National Health Commission announced that China will stop their COVID-19 quarantine requirements for passengers arriving from abroad beginning on January 8.,"The National Health Commission has announced that China will suspend their COVID-19 quarantine requirements for passengers arriving from abroad beginning on January 8, 2019."
16,"Three members of the endangered Irrawaddy dolphin have died within ten days from each other in Cambodia, prompting an increasingly alarming situation.","Three of the endangered Irrawaddy dolphins have died within ten days in Cambodia, raising the alarm.",ayush,"Three Irrawaddy dolphins have died less than ten days apart in Cambodia. As they are an endangered species, this has led to a more worrying situation.",vishnesh,"In Cambodia, three Irrawaddy dolphins have passed away within ten days of each other, creating a worrying situation.","Three Irrawaddy dolphins, a critically endangered species, have died in Cambodia within 10 days of each other, causing serious concern.","Three members of the endangered Irrawaddy dolphin have died within ten days from each other in Cambodia, and the situation is getting worse.",Three members of the endangered Irrawaddy dolphin have died within ten days from each other in Cambodia.,Three members of the endangered Irrawaddy dolphin have died within ten days from each other in Cambodia.
17,"The script began to be written in February 2019 after Aleksey Chadov attended events in Yekaterinburg dedicated to the work of Aleksei Balabanov and the film War (2002 film), which almost twenty years ago gave a powerful start to Chadov's career.",Aleksey Chadov started writing the script in February 2019 after he went to events in Yekaterinburg that were dedicated to Aleksei Balabanov’s work and the movie War. This movie gave a powerful start to Chadov’s career almost twenty years ago.,kelly,Aleksey Chadov started writing the script in February 2019 after he went to events in Yekaterinburg honoring the work of Aleksei Balabanov and the 2002 film War. War was a strong starting point for Chadov’s career.,anton,"Aleksey Chadov attended events dedicated to Aleksei Balabanov and the 2002 movie War in Yekaterinburg in February 2019. This movie was an important beginning for Chadov's career, which began almost twenty years ago. Writing of the script then started.","Aleksey Chadov began writing the script in February 2019. This followed events in Yekaterinburg, which honored Aleksei Balabanov and the movie War (2002 film). War was the film that propelled Chadov's career almost twenty years ago.","The script began to be written in February 2019 after Aleksey Chadov attended events in Yekaterinburg dedicated to the work of Aleksei Balabanov and the film War (2002 film), in which he played a leading role for the first time.","The script began to be written in February 2019. This was after Aleksey Chadov went to events in Yekaterinburg dedicated to the work of Aleksei Balabanov and the movie "" War "" (2002 movie), which almost twenty years ago gave a powerful start to Chadov's career.","The script began to be written in February 2019 after Aleksey Chadov attended events in Yekaterinburg dedicated to the work of Aleksei Balabanov and the movie "" War "", which almost twenty years ago gave a powerful start to Chadov's career."
18,A winter storm causes record-breaking low temperatures and leaves more than 80 people dead across North America.,A winter storm caused low temperatures and left many people dead across North America. ,ayush,A winter storm caused record-breaking low temperatures across North America. 80 people were killed because of the storm.,anton,"A deadly winter storm swept across North America, resulting in record-low temperatures and the death of over 80 people.",A winter storm brought record-breaking low temperatures to North America and left more than 80 people dead.,A winter storm left more than 80 people dead across North America because of record-breaking low temperatures.,A winter storm causes record-breaking low temperatures and leaves more than 80 people dead across North America.,A winter storm causes very low temperatures and leaves more than 80 people dead across North America.
19,"Nest was filmed by Hlynur right outside his house over a period of 18 months, with the support and assistance of his three children.","Nest was filmed by Hlynur outside his house for 18 months, with help from his three children.",anton,Hlynur filmed the movie Nest outside of his house over 18 months. His three children supported and helped him.,rachel,Hlynur filmed Nest outside his house over 18 months with help from his three children.,Hlynur used his three children to help him film Nest outside his house over 18 months.,Nest was filmed right outside Hlynur's house for 18 months. His three children helped him a lot to make the video.,Nest was filmed by Hlynur right outside his house over a period of 18 months. This was with the support and assistance of his three children.,It was filmed by Hlynur right outside his house over a period of 18 months.
20,"Unlike other large U.S. airlines which mostly use hub-and-spoke systems, Southwest uses point-to-point operations and underwent a massive crew scheduling ""meltdown"" because most of its pilots and flight attendants were out of position, which resulted in massive numbers of flight cancellations persisting for days after the worst weather had subsided and other airlines had largely recovered.","Southwest airlines cancel a lot of flights for a few days even after the worst weather had reduced. This happened because Southwest uses a different system for scheduling flights than other major airlines. Instead of using big transit centers, Southwest's flights go directly from one place to another. Because of this, many of the pilots and flight attendants were not in the right place, which caused the cancellations.",anton,Other U.S. airlines use hub-and-spoke systems of operations while Southwest uses point-to-point operations. Southwest had a big problem with crew scheduling because most of its pilots and flight attendants were not where they were supposed to be. This caused a lot of flights to be canceled for days after the weather got better.,kelly,"Unlike other major U.S. airlines, Southwest operates point-to-point flights. When severe weather hit, the majority of Southwest's pilots and flight attendants were out of position. This caused a massive crew scheduling issue. The result was days of many flight cancellations, even after the weather had calmed down and other airlines were back on track.","Southwest Airlines uses point-to-point operations rather than the hub-and-spoke system used by other U.S. airlines. They had a ""meltdown"" of crew scheduling which caused a lot of flight cancellations, even after the worst weather had passed and other airlines had recovered.","Unlike other large U.S. airlines which mostly use hub-and-spoke systems, Southwest uses point-to-point operations. Because of this, many of its pilots and flight attendants were out of position, which caused a lot of flight cancellations. Many of these flight cancellations continued for days after the worst weather had gone away.","Unlike other large U.S. airlines which mostly use hub-and-spoke systems, Southwest had a massive crew scheduling "" meltdown "" because most of its pilots and flight attendants were out of position. This resulted in massive numbers of flight cancellations for days after the worst weather had passed and other airlines had largely recovered.","Unlike other large U.S. airlines which mostly use hub-and-spoke systems, Southwest uses point-to-point operations and had a massive crew scheduling "" meltdown "" because most of its pilots and flight attendants were out of position. This resulted in massive numbers of flight cancellations even after the worst weather had subsided and other airlines had largely recovered."
21,"The 2022 Peruvian political protests correspond to a series of demonstrations called by supporters of the ousted president of Peru, Pedro Castillo, organized by social organizations and indigenous peoples who felt they experienced political disenfranchisement, specifically from the politically left-wing to far left.","The 2022 Peruvian protests were led by supporters of removed president Pedro Castillo, who consisted of people that felt abandoned by their government, specifically by left-wing politicians.",ayush,"Pedro Castillo was kicked out as president of Peru. His supporters felt their political rights were taken away by left-wing and far-left groups. As a result, social organizations and native peoples organized many demonstrations, known as the 2022 Peruvian political protests.",rachel,"Protests against the 2022 Peruvian government are being held by people who feel they have been shut out of the political process, particularly those who are left-wing to far left. These demonstrations, which are in support of the ousted Peruvian president, Pedro Castillo, are being organized by social organizations and indigenous populations.","In 2022, protests were held in Peru. Supporters of the ousted president, Pedro Castillo, organized them. People from the left and far left sides of the political spectrum felt they were politically ignored and discriminated against.","The 2022 Peruvian political protests will be held on the same day as a series of demonstrations called by supporters of the former president of Peru, Pedro Castillo. The demonstrations were organized by social organizations and indigenous peoples.","The 2022 Peruvian political protests are a series of demonstrations called by supporters of the president of Peru, Pedro Castillo. They are organized by social organizations and indigenous peoples who feel they experienced political disenfranchisement.","The 2022 Peruvian political protests were a series of demonstrations called by supporters of the ousted president of Peru, Pedro Castillo. It was organized by social organizations and indigenous peoples who felt they experienced political disenfranchisement, specifically from the politically left-wing to far left."
22,The film talks about the struggle that a woman needs to face and is made to do superstitious rituals for the want of a male child after her first child is a baby girl.,"This film talks about the problems women face. If their first child is a girl, they are forced to do superstitious rituals to get a son.",vishnesh,The film covers the struggles a woman faces being forced to perform rituals to give birth to a baby boy after giving birth to a girl.,ayush,The film portrays the difficult challenge a woman faces when her firstborn is a girl. She is expected to partake in superstitious rituals in order to have a male child.,"The film is about a woman struggling and performing superstitious rituals to have a male child, after her first child is a girl.",The film talks about the struggle that a woman needs to face after her first child is a baby girl and is made to do superstitious rituals for the want of a male child.,The movie talks about the struggle a woman needs to face after her first child is a baby girl and is made to do superstitious rituals for the lack of a male child after her first child is a baby girl.,The movie is about the struggle that a woman needs to face and is made to do superstitious rituals for the want of a male child after her first child is a baby girl.
23,"The Civil Aviation Authority of the Philippines closes the country's airspace for nearly six hours due to a power outage in its air traffic management center, affecting around 282 commercial flights and over 56,000 passengers.","The Civil Aviation Authority of the Philippines closed their airspace for six hours due to a power outage in its air traffic center, affecting many commercial flights and passengers.",ayush,"A power outage in Philipine’s air traffic management center causes its Civil Aviation Authority to close its airspace for almost six hours. About 282 flights and more than 56,000 passengers are affected.",rachel,"The Civil Aviation Authority of the Philippines shut down the country's airspace for six hours because the air traffic management center experienced a power outage. This caused 282 commercial flights and over 56,000 passengers to be impacted.","The Civil Aviation Authority of the Philippines closed the country's airspace for six hours because of an electrical outage at their air traffic management center. This caused 282 commercial flights to be delayed and 56,000 passengers were impacted.","The Civil Aviation Authority of the Philippines closes the country's airspace for nearly six hours because of a power outage. Around 282 commercial flights and over 56,000 passengers are affected.","The Civil Aviation Authority of the Philippines closed the country's airspace for nearly six hours due to a power outage in its air traffic management center. It affected around 282 commercial flights and over 56,000 passengers.","The Civil Aviation Authority of the Philippines closes the country's airspace for nearly six hours due to a power outage in its air traffic management center. This affects around 282 commercial flights and over 56,000 passengers."
24,"Young's first collection of verse, Genius and Fancy, described as ""a survey of the London stage,"" was published in 1791, went into a second edition in 1795, and then was immediately republished in an expanded edition with three times the number of pages as the original.","Young’s first set of poems was called Genius and Fancy. It came out in 1791 and it was described as “a survey of the London stage”. In 1795, a second edition came out and then shortly after, an expanded edition was also released. The expanded edition had thrice as many pages.",vishnesh,"Young's first collection of poetry, Genius and Fancy, was described as ""a survey of the London stage"". It was published in 1791, went into a second edition in 1795, and then was republished soon after in an expanded edition, which had three times the number of pages as the original.",kelly,"Young's first collection of poems, called Genius and Fancy, was published in 1791 and became very popular. It was a survey of the London stage. In 1795 it went into a second edition, which had three times as many pages as the first one.","In 1791, Young's first poetry book, named Genius and Fancy, was released and became successful. It was described as ""a survey of the London stage"" and was followed by an even larger second edition with triple the number of pages as the original.","Young's first collection of verse, Genius and Fancy, was published in 1791. It went into a second edition in 1795, and then was printed again in an expanded version with three times the number of pages as the original.","Young's first collection of verse, "" Genius and Fancy "", was published in 1791. It went into a second edition in 1795, and then was immediately republished in an expanded edition with three times the number of pages as the original.","Young's first collection of verse, "" Genius and Fancy "", was published in 1791, went into a second edition in 1795, and then was immediately republished in an expanded edition with three times the number of pages as the original."
25,"Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or works encouraged and supported by the Fungi Foundation).","Other important aspects of Fungi in Art are about preserving artwork from fungal decay and contamination. There are also initiatives supporting works that create more communication between fungal researchers, artists, and society.",kelly,"An important aspect of Fungi in Art is the protection of artwork from fungal damage. Another important aspect is to make sure mycologists, artists, and society are all on the same page.",anton,"Fungi play an important role in art in terms of preventing fungal decay and contamination of works, as well as creating opportunities for dialogue between mycologists, artists, and the public. Examples of such projects include the British Mycological Society's 'Massee Art Grant' and the Fungi Foundation's initiatives.","Fungi in Art is important for its role in preserving artworks from fungal decay and contamination. It also supports dialogues between mycologists, artists, and society through initiatives like the 'Massee Art Grant' by the British Mycological Society and other projects supported by the Fungi Foundation.","Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society (as for example from the 'Massee Art Grant' by the British Mycological Society or the Fungi Foundation).","Further important aspects of Fungi in Art are the preservation of artworks from fungal decay and contamination, as well as initiatives fostering and supporting works able to stimulate dialogues between mycologists (fungal researchers), artists, and society.",Further important aspects of Fungi in Art relate to preservation of artworks from fungal decay and contamination.
