Original Sentence,Human 1 Writing,Human 1,Human 2 Writing,Human 2
"On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.","On November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence. This meant that the Moon was pulling the spacecraft with more gravitational force than the Earth.",vishnesh,"On the fifth day of flight, the Orion spaceship entered the Lunar sphere of influence. This means that the Moon's gravitational force could influence the spaceship more than the Earth's.",kelly
"These missions will seek to reestablish a human presence on the Moon and demonstrate technologies and business approaches needed for future scientific studies, including exploration of Mars.",These missions will try to get people on the moon again. They will also demonstrate technologies and business approaches needed for more space-related missions.,anton,These missions will reestablish a presence on the Moon and show approaches needed for future scientific studies.,ayush
"The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.",The Ukrainian nuclear energy agency said that Russia was responsible for the opening fire that damaged certain buildings. These buildings were important for Ukraine to make enough energy for its people.,vishnesh,The Ukrainian nuclear energy agency blamed Russia for the attacks. They said the attacks damaged the energy production facilities that are important for Ukrainian needs.,rachel
The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.,"The UK’s Supreme Court will not simply let the Scottish government hold a second election to decide if Scotland will become separate from the UK. To hold such an election, the Scottish government will need the support of the British Government.",vishnesh,The Supreme Court of the United Kingdom denied Scotland the opportunity to hold a second vote for independence without approval from Britain.,anton
"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.","After another wave of missile strikes, blackouts have been reported in Western Ukraine including the city of Lviv which experienced a total blackout.",ayush,"As Russian forces launch another wave of cruise missile strikes, widespread blackouts are reported in Western Ukraine.",vinayak
"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.","Film critics praised Coogler’s direction, action scenes, production and costume design, the cast’s performances, emotional weight, musical score, and tributes to Boseman. Some critics disliked the length of the movie.",rachel,"The film received overall positive reviews with most of its qualities receiving praise. However, its runtime received criticism.",vinayak
"The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","The film made over $552 million, becoming the eighth highest-grossing film of 2022.",ayush,The film has earned over $552 million worldwide. It became the eighth highest-earning film of 2022.,kelly
"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",The sentence was a 400$ fine and a three-year supervised release after jail.,anton,The sentence included a three-year supervised release and a fine of $400.,vinayak
"On 14 November, an interview with journalist Piers Morgan was published, where Ronaldo said that he felt ""betrayed"" by ten Hag and ""two or three others"" who wanted Ronaldo to leave the club, while also adding that the club ""doubted"" him when he said he could not attend pre-season training due to the illness of his daughter, and that he did not respect ten Hag ""because he doesn't show respect for me"", leading him to be disappointed with the communication of the club.","On November 14th, Ronaldo said in an interview that he felt “betrayed” by ten Hag and others who wanted Ronaldo to leave the club. He also added that the club “doubted” him when he could not attend pre-season practice due to his sick daughter. Finally, he said that he does not respect ten Hag “because he doesn’t show respect for me.”",anton,"On 14 November, Ronaldo had an interview with Piers Morgan, where he said that he felt ""betrayed"" by ten Hag and ""two or three others"" who wanted him to leave the club. Ronaldo also said that the club ""doubted"" him when he said he could not go to pre-season training because his daughter was sick. He said that he was disappointed with the club’s communication and that he did not respect ten Hag ""because he doesn't show respect for me"".",kelly
United began seeking legal action over whether Ronaldo had breached his contract and was looking to terminate his contract.,United started to see if Ronaldo had legally broken his contract. They wanted to end his contract.,vishnesh,United sought legal action when Ronaldo tried to breach his contract.,ayush
"On November 9, Fetterman was projected as the winner of the election by media outlets.","On Novermber 9, media outlets predicted Fetterman would win the US Senate election in Pennsylvania.",rachel,"On November 9, Fetterman was predicted by the media as the winner of the election.",ayush
"Before Bankman-Fried's wealth eroded in November 2022, Bankman-Fried was a major donor to Democratic Party candidates.","Before Bankman-Friend’s money disappeared in November 2022, he donated a lot of money to Democratic Party candidates.",anton,Bankman-Fried was a major donor to Democratic Party candidates before they lost money in November 2022.,kelly
"England are the reigning T20 World Cup holders, having beaten Pakistan in the 2022 final, winning their second title.","After winning the last T20 World Cup, England won the T20 World Cup for the second time. They beat Pakistan in the 2022 final.",rachel,"England beat Pakistan in the 2022 final. This made them the T20 World Cup holders, winning their second title.",kelly
"The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.",The person suing said that he did not renounce his Nepali citizenship while being an American citizen. This is important because Nepali law does not allow for dual citizenship.,anton,The complaint said he did not renounce his Nepali citizenship while being an American citizen.,ayush
"About 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","Because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.",ayush,"To reduce the impact of this earthquake, about 80 percent of buildings were updated after the 1999 earthquakes.",vinayak
"A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority, though it also found more than half of self-identified Republicans supported it as a top congressional priority.","A tech company called Morning Consult conducted a poll in mid-November 2022. This poll found that only 28% of Americans thought it was important for congress to look into Hunter Biden’s business exchanges. However, the poll also found that more than half of Republicans thought it was important for congress to look into this issue.",vishnesh,"A poll found that only 28% of Americans supported having an impeachment investigation into Hunter Biden, but it also found half of Republicans supported it.",ayush
"Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.","Robinson went back to West Point in 1972. Over there, he was the 3rd Regimental Tactical officer. He was in charge of coaching new military students and helping them become better.",vishnesh,Robinson came back to West Point in 1972 to serve as the 3rd Regimental Tactical officer. He had to develop and train cadets.,anton
"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","Painted decorations are kept on the face of the building, on the porch, and on the inside. These paintings were made in two different time periods. The first time period was when the building was built. The second time period was after 1913, when the building’s use was changed.",vishnesh,Painted decoration is preserved in the interior and on the facade. This preservation possibly occurred during its construction and its change of use after 1913.,vinayak
"The Creative Gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing Kojima's life, many of which focus on the various pop culture media Kojima developed an adoration for and how they have impacted him.",The Creative Gene is a book written by Kojima about his life. It has several short stories and essays. Many of these talk about the pop culture media Kojima liked and how they changed his life.,vishnesh,The Creative Gene is a book about Kojima’s life and the pop culture media he liked.,vinayak
"Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.","The book A Wilder Life is divided into sections based on the season. It covers self-reliance, growing and gardening, cooking, health and beauty, and wilderness. It also has photos and illustrations of the outdoors.",kelly,"A Wilder Life shows that getting in touch with nature is possible. To show this, the book details many different aspects of the outdoors.",vinayak
