id,original,simplified,system
10,"The book is illustrated with more than 200 newly commissioned color photographs by the British architectural photographer Morley von Sternberg, as well as older images where needed to illustrate buildings that have been significantly altered or demolished.",The book has more than 200 newly commissioned colour photographs by the British architectural photographer Morley von Sternberg. There are also older images where needed to show buildings that have been significantly altered or demolished.,T5-3B
11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.",The last president to run after leaving office was Theodore Roosevelt.,T5-3B
12,"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football.""","On 5 November 2022, FIFA sent out a letter to all the nations in the FIFA World Cup, asking them to stop talking about Qatar's human rights problems and to "" focus on the football. """,T5-3B
13,"Drone footage released by the Islamic State showed bombs being dropped on an ammunitions facility located in Deir ez-Zor, Syria, an area of contested control between the Islamic State and the Syrian government at the time.","Drone footage released by Islamic State showed bombs being dropped on an ammunitions facility in Deir ez-Zor, Syria. This was an area of contested control between the Islamic State and the Syrian government at the time.",T5-3B
14,"On November 2, 2022, Poland's Minister of National Defence Mariusz Blaszczak announces the construction of a barrier along the border with the Russian exclave of Kaliningrad, as Poland believes that Russia will use the border to illegally transport African and Asian immigrants to Europe.","On November 2, 2022, Poland's Minister of National Defence Mariusz Blaszczak announces the construction of a barrier along the border with the Russian exclave of Kaliningrad. Poland believes that Russia will use the border to illegally transport African and Asian immigrants to Europe.",T5-3B
15,"Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.",Major American and British oil companies reported record profits in 2022. They rewarded their shareholders with dividends and stock buybacks.,T5-3B
16,"In more recent practice, between the announcement of the nomination and the start of hearings, the Judiciary Committee undertakes an investigative stage in which committee members and their staffs prepare for the hearings by looking over the background of the nominees and relevant issues.","Between the announcement of the nomination and the start of hearings, the Judiciary Committee has an investigative stage. Committee members and their staffs prepare for the hearings by looking over the background of the nominees and relevant issues.",T5-3B
17,"Unlike the first film adaptation, in which director Samuel Fuller entirely wrote out the character of Gary, replaced Seberg with a younger fictional actress, and recast the story as a horror film centred on the dog itself, Barbeau-Lavalette remained more faithful to the original book.","Unlike the first movie version, in which director Samuel Fuller entirely wrote out the character of Gary, replaced Seberg with a younger actress, and recast the story as a horror movie about the dog itself, Barbeau-Lavalette remained more faithful to the original book.",T5-3B
18,"Described as a darkly comedic bio-pic, Emilia Jones was confirmed to be portraying the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, ""Who Is Reality Winner?"" with Fogel also on board to direct.","It is described as a darkly comedic bio-pic. Emilia Jones will play the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, "" Who Is Reality Winner? "".",T5-3B
19,"There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.","The mediators, as well as some observers, think that this agreement is a step towards peace, but that true peace has not yet to be fully realized.",T5-3B
20,"Whereas earlier major protests, which were violently quelled by Iran's government, focused on election results or economic woes, the current protest, besides increased rights for women, has one main demand: the overthrow of the Islamic Republic.","Unlike earlier major protests, which were violently quelled by Iran's government, the current protest, besides increased rights for women, has one main demand: the overthrowing of the Islamic Republic.",T5-3B
21,"In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since as a Cinematographer in the film industry, also having a lot of experience with photography and experience in the field of graphic design.","In a difficult situation, it encouraged him to study Graphic Design in 2007. He is now working as a Cinematographer in the movie industry, also having a lot of experience with photography and experience in the field of graphic design.",T5-3B
22,"In addition to farming, Corbin has expanded his business to include agritourism, using his farm to host weddings, host corporate meetings, and attract visitors to a large annual Christmas-themed display.","In addition to farming, Corbin has expanded his business to include agritourism. He uses his farm to host weddings, corporate meetings, and attract visitors to a large annual Christmas-themed display.",T5-3B
23,"An activist hiding his identity said the Egyptian authorities were carrying out random detentions ahead of COP, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.",An activist hiding his identity said the Egyptian authorities were carrying out random detentions ahead of COP. They are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.,T5-3B
24,"Football fans around the world may find some apprehensions about going to the World Cup in Qatar because of the alcohol laws concerning consuming alcohol in public places, but World Cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the World Cup.","Football fans around the world may be apprehensions about going to the World Cup in Qatar because of the alcohol laws. However, World Cup organizers announced the creation of designated "" sobering up "" zones as a way to make fans feel safe and comfortable while attending the World Cup.",T5-3B
25,"On 3 November 2022, the British Foreign Secretary James Cleverly announced that the UK and Mauritius had decided to begin negotiations on sovereignty over the British Indian Ocean Territory, taking into account the recent international legal proceedings.","On 3 November 2022, the British Foreign Secretary James Cleverly announced that the UK and Mauritius had decided to start talks about sovereignty over the British Indian Ocean Territory.",T5-3B
26,"Blogger DJ Akademiks held a three-hour stream in honor of Takeoff, in which he analyzed videos from the moment of the murder of Kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers YNW Melly and Tay-K, who were convicted of murder.","Blogger DJ Akademiks held a three-hour stream in honor of Takeoff, in which he analyzed videos from the moment of the murder, and also called for fighting the ideology of violence in hip hop, including stop imitating rappers YNW Melly and Tay-K, who were convicted of murder.",T5-3B
27,"Once inaugurated in January 2023, she will become the first female Governor of Massachusetts as well as the first openly lesbian woman and third openly LGBT person (after Kate Brown and Jared Polis) to take office as governor of a U.S. state.","When inaugurated in January 2023, she will become the first female Governor of Massachusetts as well as the first openly lesbian woman and third openly LGBT person to hold the office of governor of a U.S. state.",T5-3B
28,"The sitcom series features the story of Abi (played by Bolu Essien) who secures a job at a top advertising agency in Lagos, although she had a rough start with her superior, she soon got an opportunity to shine at work when she was promoted to become the acting manager after the manager traveled to another branch.",The series features the story of Abi (played by Bolu Essien) who gets a job at a top advertising agency in Lagos. She soon gets a chance to shine at work when she is promoted to become the acting manager after the manager travels to another branch.,T5-3B
29,"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role.""","However, upon Flynn's apparent success in securing enough backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looks forward, "" to seeing how he utilizes those great qualities in this leadership role. """,T5-3B
30,"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","The club said on social media that customers stopped the gunman, that it was "" devastated by the senseless attack on our community "", and that it offered condolences to the victims and their families.",T5-3B
31,"According to the non-profit organization Iran Human Rights, as of 19 November 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.","According to the non-profit organization Iran Human Rights, as of 19 November 2022, at least 378 people including 43 minors under 18 years of age have been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019-2020 protests that resulted in more than 1,500 deaths.",T5-3B
32,"The film stars Julie Ledru as Julia, a young woman living in social housing who has a poor relationship with her mother; passionate about the sport of motocross, she tries to gain the opportunity to participate in the sport by posing as a buyer on shopping websites so that she can take bikes out for test rides.","The movie stars Julie Ledru as Julia, a young woman living in social housing who has a poor relationship with her mother. She tries to gain the opportunity to participate in the sport by posing as a buyer on shopping websites so that she can take bikes out for test rides.",T5-3B
33,"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",The movie is about a reclusive family who spend months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hesseen has gotten pregnant from a one-night stand. Their fragile equilibrium is challenged when Hesseen leaves the house soon after the baby's birth to look for the father.,T5-3B
34,"Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.","Days before the start of the 2022 FIFA World Cup, Qatar was accused of having paid actors to play the role of fans at the tournament in order to promote the country.",T5-3B
35,"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.","According to anonymous sources cited by The Wall Street Journal, FTX had loaned $ 10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison told other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.",T5-3B
36,"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.",In the opening game of their group they defeated a much fancied Argentina side 2-1. This ended an Argentine unbeaten streak of 36 games dating back to 2019.,T5-3B
37,"According to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","According to the eyewitness account, the shooter "" snapped "" before shooting a woman, then killing employees within the break room before firing at least ten shots in the grocery aisles.",T5-3B
38,"The Iranian team notably made headlines in their opening match against England after refusing to sing the national anthem in solidarity with the Mahsa Amini protests, with some Iranian supporters cheering against their own team or boycotting their team amidst the ongoing protests as they felt the team was representing the government.",The Iranian team made headlines in their opening match against England after refusing to sing the national anthem in solidarity with the Mahsa Amini protests. Some Iranian supporters cheered against their own team or boycotted their team.,T5-3B
39,"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.","The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",T5-3B
40,"On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.","On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, so the Moon's gravitational force became stronger than Earth's relative to the spacecraft.",T5-3B
41,"These missions will seek to reestablish a human presence on the Moon and demonstrate technologies and business approaches needed for future scientific studies, including exploration of Mars.","These missions will seek to reestablish a human presence on the Moon and demonstrate technologies and business approaches needed for future scientific studies, including exploration of Mars.",T5-3B
42,"The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.",Ukraine's nuclear energy agency said that Russia was responsible for the shelling.,T5-3B
43,The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.,The Supreme Court of the United Kingdom ruled that the Scottish government could not hold another referendum on Scottish independence from the United Kingdom without approval from the British government.,T5-3B
44,"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.","Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv.",T5-3B
45,"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.","The movie received positive reviews from critics. They praised Coogler's direction, the action sequences, costume design, the cast's performances, emotional weight, musical score, and the tributes to Boseman.",T5-3B
46,"The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","The movie has grossed over $ 570 million worldwide, becoming the eighth highest-grossing movie of 2022.",T5-3B
47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.","The sentence included a fine of $ 400, or $ 100 for each count of fraud. He was sentenced to three-year supervised release after the prison term.",T5-3B
48,"On 14 November, an interview with journalist Piers Morgan was published, where Ronaldo said that he felt ""betrayed"" by ten Hag and ""two or three others"" who wanted Ronaldo to leave the club, while also adding that the club ""doubted"" him when he said he could not attend pre-season training due to the illness of his daughter, and that he did not respect ten Hag ""because he doesn't show respect for me"", leading him to be disappointed with the communication of the club.","On 14 November, an interview with journalist Piers Morgan was published. In the interview, Ronaldo said that he felt "" betrayed "" by ten Hag and "" two or three others "" who wanted Ronaldo to leave the club.",T5-3B
49,United began seeking legal action over whether Ronaldo had breached his contract and was looking to terminate his contract.,United began seeking legal action over whether Ronaldo had breached his contract and was looking to terminate his contract.,T5-3B
50,"On November 9, Fetterman was projected as the winner of the election by media outlets.","On November 9, Fetterman was thought to be the winner of the election by media outlets.",T5-3B
51,"Before Bankman-Fried's wealth eroded in November 2022, Bankman-Fried was a major donor to Democratic Party candidates.","Before Bankman-Fried's wealth decreased in November 2022, Bankman-Fried was a major donor to Democratic Party candidates.",T5-3B
52,"England are the reigning T20 World Cup holders, having beaten Pakistan in the 2022 final, winning their second title.",The current T20 World Cup holder is England.,T5-3B
53,"The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.","The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.",T5-3B
54,"About 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.",About 80 percent of buildings in the area were rebuilt after the 1999 earthquakes.,T5-3B
55,"A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority, though it also found more than half of self-identified Republicans supported it as a top congressional priority.",A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority. More than half of self-identified Republicans supported it as a top congressional priority.,T5-3B
56,"Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.",Robinson returned to West Point in 1972 to be the 3rd Regimental Tactical officer. He was tasked with developing and training cadets.,T5-3B
57,"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","In the interior, on the facade and the portico, there is painted decoration. The decoration was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.",T5-3B
58,"The Creative Gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing Kojima's life, many of which focus on the various pop culture media Kojima developed an adoration for and how they have impacted him.","The Creative Gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes spanning Kojima's life, many of which focus on the various pop culture media which Kojima developed an adoration for and how they have impacted him.",T5-3B
59,"Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.","It covers topics such as growing and gardening, cooking, health and beauty, and wilderness. A Wilder Life shows that getting in touch with nature is possible.",T5-3B
